UpdatedFEN,depth_0,depth_1,depth_2,depth_3,depth_4,depth_5
5rk1/1p3ppp/pq1Q1b2/8/8/1P3N2/P4PPP/3R2K1 b - - 3 27,1,33,1403,47263,1920138,66603304
8/5R2/1p2P3/p4r2/P6p/1P3Pk1/4K3/8 b - - 2 64,1,16,281,4156,70624,1092424
6k1/5p1p/4p3/4q3/3n4/2Q3P1/PP1N1P1P/6K1 b - - 3 37,1,33,960,28443,837691,23358324
2Q2bk1/5p1p/p5p1/2p3P1/4B3/7P/qPr2P2/2K4R w - - 0 33,1,3,61,1752,40278,1172574
r4r2/1p3pkp/p7/3R1p1Q/3P4/8/P1q2P2/3R2K1 w - - 0 26,1,36,1161,39722,1264967,43513058
8/8/4k1p1/2KpP2P/5P2/8/8/8 b - - 0 53,1,7,63,448,4349,31809
4r3/1k6/pp3P2/1b5p/3R1p2/P1R2P2/1P4PP/6K1 b - - 0 35,1,26,792,18291,531444,11859803
6k1/1p4pp/p5n1/5Q2/3BpP2/1P2PP1K/P1q4P/7r w - - 2 34,1,31,1026,27632,902434,24313592
8/2p5/3k2p1/1p1P1p2/1P3P2/3K2Pp/7P/8 w - - 2 44,1,7,42,360,2835,23786
8/7R/8/5p2/4bk1P/8/2r5/5KR1 b - - 8 51,1,25,430,10490,204463,4719281
3R4/8/8/KB2b3/1p6/1P2k3/3p4/8 b - - 0 58,1,21,517,9548,223387,4377984
5R2/1p6/p1p1k3/2P1r3/2K3p1/2P1p1P1/1P5P/8 w - - 2 45,1,22,269,4364,67948,1109624
2kr3r/p4p2/1p2p2p/1N1p2p1/3Q4/1P1P4/2q2PPP/5RK1 w - - 0 21,1,36,1076,36580,1086751,35966832
6k1/pp1r1pp1/2p1p2p/4P2P/3q1Q2/1P4R1/P1Pr1PP1/R5K1 w - - 5 24,1,34,1209,39251,1421032,46300929
6k1/4p1bp/6p1/1p1pP3/qPpPp3/2P1P3/Q2B1KPP/8 w - - 3 24,1,20,435,8658,187654,3634794
6k1/5ppp/r1p5/p1n1rP2/8/2P2N1P/2P3P1/3R2K1 w - - 0 22,1,28,723,17737,475539,11049302
6k1/5p2/4p3/P1B5/2P4P/4Pnp1/Rb2r3/5K2 w - - 0 34,1,16,479,7159,198756,3172166
8/3B2pp/p5k1/6P1/1ppp1K2/8/1P6/8 w - - 0 39,1,15,108,1638,13378,202772
7r/6k1/2b1Rp2/8/P1N3p1/5nP1/5P2/Q4K2 b - - 0 38,1,36,1081,33020,997382,28118246
6nr/p4p1p/k1p5/1p6/1QN5/2P1P3/4KPqP/8 w - - 0 27,1,25,512,12363,288240,7162411
8/4R3/p4kpp/3B4/5q2/8/5P1P/6K1 w - - 6 41,1,33,793,17949,430868,9705485
r5k1/pp4pp/4p1q1/4p3/3n4/P3Q1P1/1PP4P/2KR1R2 b - - 5 24,1,32,1127,35966,1231310,39465043
8/2p5/pp1p4/P2Pk2p/1PP1p2P/2n1K2P/3N4/8 w - - 0 46,1,9,112,1138,14047,162836
5rk1/5ppp/4p3/4N3/8/1Pn5/5PPP/2R3K1 b - - 1 28,1,20,491,9952,244551,5099032
8/8/8/6p1/5N2/3p3P/5kP1/3K4 b - - 0 56,1,7,71,429,4570,28832
7r/p4pk1/1pp3p1/8/6q1/4Q3/PP1R1P1r/5KN1 w - - 0 39,1,39,1761,57690,2397297,77239939
8/8/1p6/k7/P7/1KR4r/8/8 b - - 27 64,1,14,170,2456,38583,580538
8/6p1/2B2n2/3b2k1/3B4/6K1/4P3/8 w - - 5 45,1,23,493,10523,210948,4506620
4r1k1/1p2R1p1/p2p2Pp/P1pP4/8/1R3p2/1P1q3P/5B1K w - - 0 35,1,31,925,23605,681492,16565766
8/7p/4k3/pb1p1pPB/1n1P3P/N1p1P3/4K3/8 w - - 2 43,1,6,113,1671,29790,469586
8/6k1/1R5p/5p1P/5P1K/6P1/8/r7 b - - 3 58,1,19,288,4479,63586,969658
2nk4/8/2PBp3/1pK1P1p1/1P4Pn/8/8/8 w - - 3 43,1,7,47,357,3420,28335
8/2p5/8/2pPk2p/8/3K3P/6P1/8 b - - 2 42,1,8,74,608,5972,51935
1r5r/p3kp2/4p2p/4P3/R4Pp1/6P1/P1P4P/4K2R b K - 2 25,1,28,590,14210,310977,7260855
8/5kp1/p3pb2/8/6Pp/1P4qP/P2R2Q1/7K b - - 3 34,1,33,802,23176,601348,16811794
8/3pk3/R7/1R2PK1p/2PPn1r1/8/8/8 b - - 0 43,1,24,557,12728,285876,6316341
2r5/pR5p/5p1k/4p3/4R3/B4nPP/PP3P2/1K6 b - - 0 27,1,27,842,18969,581927,12405335
8/6pk/7p/2pq4/3p4/5PP1/P3QK1P/8 w - - 2 41,1,26,601,15186,338121,8177360
8/8/5k1p/6pP/1R4P1/1p2KP2/8/1r6 b - - 0 43,1,14,217,3099,47143,712661
8/1q3kpp/1P2p3/4Q3/5P2/4B2P/2r3PK/8 w - - 1 44,1,29,836,23337,694088,19260140
7R/1p2k2p/p2n2p1/4K3/8/6P1/P6P/8 b - - 11 37,1,15,217,2910,47349,639152
r7/p2k1pp1/p1p1pn2/3p4/3P4/P3PQp1/1PP2P1R/2K5 b - - 0 20,1,27,803,19949,598138,14447240
5r1k/pp4pp/2p5/6q1/5R2/2P5/P1P2PPP/3rR1K1 w - - 0 28,1,24,1098,25587,1128775,27047050
8/1N3k2/6p1/8/2P3P1/pr6/R7/5K2 b - - 2 56,1,20,351,6182,111295,1917972
4r3/p5k1/2R4p/2Pp4/1P1pr1P1/P6P/8/3R3K b - - 0 35,1,27,644,16064,388601,9671153
4qk2/1b3R2/p7/1p2Q3/4P2P/P2P3K/2r5/3R4 b - - 0 41,1,3,118,3415,109697,3114700
8/5k2/4R2p/p7/5rPK/8/7P/8 w - - 3 43,1,18,287,4547,76492,1207593
3r4/R7/2p5/p1P2p2/1p4k1/nP2K3/P3NP2/8 b - - 4 41,1,24,380,7350,124670,2314595
8/7R/5p2/p7/7P/2p5/3k2N1/1K6 b - - 0 48,1,6,86,572,9254,67293
8/p1p1k2p/4P3/2PP1p1P/1r3r2/5B2/P3RK2/8 w - - 4 39,1,18,427,8068,195052,3868821
5rk1/5ppp/1p6/1q3P1Q/2pp3P/6R1/6PK/8 w - - 0 31,1,24,556,13659,354466,9063355
1r4k1/p4ppp/2Q5/3pq3/8/P6P/2PR1PP1/1R4K1 b - - 0 26,1,43,1803,66031,2658181,91346590
8/3k1p2/4p3/p2p4/3P1P2/q3P1rP/7r/1QR2K2 w - - 2 35,1,28,1018,24424,850023,19450234
5k2/4bB2/4P3/2p2P2/2b5/8/p7/B6K b - - 5 48,1,13,184,2880,44323,772793
8/4kr2/R2p4/1p1Pp3/5pp1/3K1P2/PPP5/8 w - - 0 40,1,19,251,4346,64525,1095314
5Q2/8/1bk1p1p1/5p2/3p4/5qPK/7P/8 w - - 2 52,1,18,423,6080,139954,2170929
8/2k3n1/K2p2p1/2pP2Pp/2P4P/7B/8/8 b - - 1 57,1,5,48,335,3294,25288
6k1/p3b2p/1p1pP3/2P3P1/2np3B/P6P/3Q3K/8 b - - 0 38,1,22,595,12711,337162,6902477
4r1k1/ppq3pp/2p2p2/4r3/4p1Q1/P5RP/1P3PP1/3R2K1 w - - 4 35,1,39,1429,54903,1965324,73776324
2q3k1/4br2/6pQ/1p1n2p1/7P/1P4P1/1B2PP2/6K1 w - - 0 28,1,28,1012,26298,901244,22630434
4b1k1/4Pr2/3R2pp/1ppBP2q/8/PP4P1/2P4P/3R3K w - - 3 39,1,36,690,21040,518245,16032377
5rk1/1p2p2p/p2p4/2pPb2R/2P1P3/1P1BKPrR/8/8 w - - 5 31,1,18,541,9881,295628,5884236
4rk2/p4q2/1p3Q1b/8/1p5N/2P1p3/P3P3/2K5 w - - 1 44,1,31,619,17671,452377,11962212
5kr1/ppR3p1/3R3p/1n6/1r6/8/1P3PPP/2K5 w - - 5 32,1,36,704,21955,468096,13784475
r6k/2q3pp/8/2p5/R1np4/7P/2PB1PP1/6K1 w - - 0 33,1,26,998,23891,889136,20739053
5r2/pp1k4/4p1b1/3pP1Np/3P1P1K/8/P7/2R5 w - - 8 43,1,25,638,14148,321289,6844291
r5k1/2p1pp2/pp4p1/1q5r/5P2/2QP2R1/PP6/1K4R1 w - - 1 33,1,39,1543,55184,2097642,73857400
8/5p1k/1P4pp/3Qn3/4BP2/6P1/1p2PK1P/2q5 b - - 2 34,1,33,929,27445,824921,24530831
8/8/1p1k1p1p/3np3/2B2p2/PP1K1PP1/7P/8 w - - 0 37,1,13,197,2806,41074,647566
8/8/4Kpp1/7p/3N2kP/8/8/8 b - - 3 62,1,6,80,522,7351,52915
6r1/3k4/1K1P4/2P5/R7/5b2/8/8 w - - 1 69,1,19,494,7888,183600,2920518
6k1/pp3pp1/2p1q1Pp/3b4/8/6Q1/PB3Pp1/3r1NK1 w - - 0 28,1,31,1235,33874,1366476,36705548
7r/pppk4/2pN1r2/8/3P2p1/2P5/PP2RPP1/4R1K1 b - - 0 26,1,33,981,27769,825180,21850528
5rk1/R4pp1/1p5p/3Q4/1PPp2q1/3P2P1/5P2/4K3 b - - 0 34,1,26,830,21371,633634,16357714
1r6/5k2/2Q1pNp1/p5Pp/1p2P2P/2P4R/KP3P2/3q4 b - - 0 31,1,37,1095,30816,930985,24469844
6R1/p7/5k2/P7/6KP/8/8/5r2 b - - 6 53,1,16,230,3815,61861,1043239
1r3k2/5p1p/2p1pp2/P2n4/r3N3/P4PK1/2R2P1P/2R5 w - - 10 30,1,29,968,28211,887672,25624299
2r5/4ppkp/6p1/1p6/1P6/P3B3/1br2PPP/1R1R2K1 w - - 3 23,1,31,1123,33233,1139276,33041791
6R1/8/Kpk1p3/1p1pP3/6P1/PPr5/8/8 w - - 0 41,1,14,193,2670,36362,516728
3N1r2/R7/kp6/p2pPp1Q/2pP2P1/2q5/2P5/2K5 b - - 1 38,1,2,52,1252,25905,664374
6k1/p4pp1/1p5p/4b3/4B3/4P1P1/P1R2PKP/1q1r4 w - - 0 31,1,28,1043,27845,1056267,27151938
3r2k1/1b4bR/p2P2p1/3p2N1/2p5/2P2N2/PP6/2K5 w - - 0 29,1,28,535,15401,300588,8562746
8/4k1K1/4P3/6pp/6rP/4R1P1/8/8 b - - 1 60,1,12,186,2933,49624,807955
4r1k1/p4p1p/1p6/6B1/3P2n1/P4Q2/1P4P1/7K b - - 0 34,1,28,907,21744,649409,14339044
6k1/p4p2/1p5p/4r3/P3B3/1P2KP2/2P3PP/8 b - - 1 29,1,20,337,6247,117523,2105738
1Q6/5ppp/8/8/8/2pk3P/3p2P1/3K4 b - - 0 52,1,11,247,2132,42220,363122
2r3rk/5p2/4p2p/4q3/1Q6/8/1P3PPP/2R2RK1 b - - 1 31,1,48,1859,78339,2862467,113884477
5k2/p2r3p/1p4pP/3r1q2/4R3/2P5/PP3PQ1/K3R3 b - - 0 33,1,34,1255,45384,1662810,60543456
7Q/2p5/1p2prp1/p4k1p/q4p1P/8/6RK/8 w - - 0 38,1,26,561,13893,323109,7737581
6k1/4rRp1/p6p/7P/q1pP4/2Pb2Q1/P4RP1/6K1 b - - 0 31,1,36,1225,37473,1322004,40111684
1k6/ppp3p1/8/1P5p/8/P3n2P/2P1r1P1/B2rNRK1 w - - 5 32,1,24,757,17555,562411,13133608
8/6pp/6k1/5pN1/5P2/5rPb/4R2P/6K1 b - - 1 35,1,17,326,5422,101503,1799106
